127.0.0.1 - - [20/Jul/2018:12:10:13 +0900] "GET / HTTP/1.1" 200 13638
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:28:04 +0900] "GET /main.do HTTP/1.1" 200 13825
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:28:04 +0900] "GET /resources/image/arsenal.png HTTP/1.1" 200 213965
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:28:05 +0900] "HEAD /resources/image/sleep.mp3 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:28:05 +0900] "GET /resources/image/sleep.mp3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:28:08 +0900] "GET /reservation.do?homeimage=https://www.arsenal.com/sites/default/files/styles/feed_crest_thumbnail/public/logos/arsenal.png?itok=gaU3837L&awayimage=/sites/default/files/styles/feed_crest_thumbnail/public/logos/parissaintgermain_0.png?itok=fbcdUh80&home=Arsenal&away=PSG&date=2018%20Sat%20Jul%2028%20-%2012:35&stadium=Singapore%20National%20Stadium HTTP/1.1" 200 9853
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:28:10 +0900] "POST /seatselect.do HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:28:12 +0900] "GET /reservation.do?homeimage=https://www.arsenal.com/sites/default/files/styles/feed_crest_thumbnail/public/logos/arsenal.png?itok=gaU3837L&awayimage=/sites/default/files/styles/feed_crest_thumbnail/public/logos/parissaintgermain_0.png?itok=fbcdUh80&home=Arsenal&away=PSG&date=2018%20Sat%20Jul%2028%20-%2012:35&stadium=Singapore%20National%20Stadium HTTP/1.1" 200 9853
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:28:12 +0900] "GET /resources/css/view.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:28:12 +0900] "GET /resources/image/stadium.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:28:13 +0900] "POST /seatselect.do HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:28:20 +0900] "POST /insertseat.do HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:28:20 +0900] "GET /reservation.do?resvcheck=1&date=2018%20Sat%20Jul%2028%20-%2012:35&seat=E4,D4,E6,D6&level=N&price=20000 HTTP/1.1" 200 8624
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:28:21 +0900] "POST /userselect.do HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:28:22 +0900] "POST /mpinsert.do HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:28:23 +0900] "GET /mypage.do HTTP/1.1" 200 7755
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:28:25 +0900] "GET /main.do HTTP/1.1" 200 13825
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:28:25 +0900] "HEAD /resources/image/sleep.mp3 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:28:25 +0900] "GET /resources/image/sleep.mp3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:28:28 +0900] "GET /reservation.do?homeimage=https://www.arsenal.com/sites/default/files/styles/feed_crest_thumbnail/public/logos/arsenal.png?itok=gaU3837L&awayimage=/sites/default/files/styles/feed_crest_thumbnail/public/logos/chelsea.png?itok=Seh-ADW2&home=Arsenal&away=Chelsea&date=2018%20Wed%20Aug%201%20-%2020:05&stadium=Aviva%20Stadium,%20Dublin HTTP/1.1" 200 9837
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:28:30 +0900] "POST /seatselect.do HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:28:31 +0900] "POST /insertseat.do HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:28:31 +0900] "GET /reservation.do?resvcheck=1&date=2018%20Wed%20Aug%201%20-%2020:05&seat=F7&level=W&price=15000 HTTP/1.1" 200 8565
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:28:33 +0900] "POST /userselect.do HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:28:34 +0900] "POST /mpinsert.do HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:28:35 +0900] "GET /mypage.do HTTP/1.1" 200 8598
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:28:37 +0900] "GET /main.do HTTP/1.1" 200 13825
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:28:37 +0900] "HEAD /resources/image/sleep.mp3 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [20/Jul/2018:16:28:37 +0900] "GET /resources/image/sleep.mp3 HTTP/1.1" 304 -
